Id,Designation,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A
,HE 100 M,41.8,120,106,12,20,12,,,,,,,,,1143,399.2,4.63,2.74,190.4,75.31,235.8,116.3,,,9930,68.21,53.24
,HE 120 M,52.1,140,126,12.5,21,12,,,,,,,,,2018,702.8,5.51,3.25,288.2,111.6,350.6,171.6,,,24790,91.66,66.41
,HE 140 M,63.2,160,146,13,22,12,,,,,,,,,3291,1144,6.39,3.77,411.4,156.8,493.8,240.5,,,54330,120,80.56
,HE 160 M,76.2,180,166,14,23,15,,,,,,,,,5098,1759,7.25,4.26,566.5,211.9,674.6,325.5,,,108100,162.4,97.05
,HE 180 M,88.9,200,186,14.5,24,15,,,,,,,,,7483,2580,8.13,4.77,748.3,277.4,883.4,425.2,,,199300,203.3,113.3
,HE 200 M,103,220,206,15,25,18,,,,,,,,,10640,3651,9,5.27,967.4,354.5,1135,543.2,,,346300,259.4,131.3
,HE 220 M,117,240,226,15.5,26,18,,,,,,,,,14600,5012,9.89,5.79,1217,443.5,1419,678.6,,,572700,315.3,149.4
,HE 240 M,157,270,248,18,32,21,,,,,,,,,24290,8153,11.03,6.39,1799,657.5,2117,1006,,,1152000,627.9,199.6
,HE 260 M,172,290,268,18,32.5,24,,,,,,,,,31310,10450,11.94,6.9,2159,779.7,2524,1192,,,1728000,719,219.6
,HE 280 M,189,310,288,18.5,33,24,,,,,,,,,39550,13160,12.83,7.4,2551,914.1,2966,1397,,,2520000,807.3,240.2
,HE 300 M,238,340,310,21,39,27,,,,,,,,,59200,19400,13.98,8,3482,1252,4078,1913,,,4386000,1408,303.1
,HE 320 M,245,359,309,21,40,27,,,,,,,,,68130,19710,14.78,7.95,3796,1276,4435,1951,,,5004000,1501,312
,HE 340 M,248,377,309,21,40,27,,,,,,,,,76370,19710,15.55,7.9,4052,1276,4718,1953,,,5584000,1506,315.8
,HE 360 M,250,395,308,21,40,27,,,,,,,,,84870,19520,16.32,7.83,4297,1268,4989,1942,,,6137000,1507,318.8
,HE 400 M,256,432,307,21,40,27,,,,,,,,,104100,19340,17.88,7.7,4820,1260,5571,1934,,,7410000,1515,325.8
,HE 450 M,263,478,307,21,40,27,,,,,,,,,131500,19340,19.8,7.59,5501,1260,6331,1939,,,9251000,1529,335.4
,HE 500 M,270,524,306,21,40,27,,,,,,,,,161900,19150,21.69,7.46,6180,1252,7094,1932,,,11190000,1539,344.3
,HE 550 M,278,572,306,21,40,27,,,,,,,,,198000,19160,23.64,7.35,6923,1252,7933,1937,,,13520000,1554,354.4
,HE 600 M,285,620,305,21,40,27,,,,,,,,,237400,18980,25.55,7.22,7660,1244,8772,1930,,,15910000,1564,363.7
,HE 650 M,293,668,305,21,40,27,,,,,,,,,281700,18980,27.45,7.13,8433,1245,9657,1936,,,18650000,1579,373.7
,HE 700 M,301,716,304,21,40,27,,,,,,,,,329300,18800,29.32,7.01,9198,1237,10540,1929,,,21400000,1589,383
,HE 800 M,317,814,303,21,40,30,,,,,,,,,442600,18630,33.09,6.79,10870,1230,12490,1930,,,27780000,1646,404.3
,HE 900 M,333,910,302,21,40,30,,,,,,,,,570400,18450,36.7,6.6,12540,1222,14440,1929,,,34750000,1671,423.6
,HE 1000 M,349,1008,302,21,40,30,,,,,,,,,722300,18460,40.32,6.45,14330,1222,16570,1940,,,43020000,1701,444.2
