Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0
,430x100x64 PFC,-,64.4,430,100,11,19,15,362,32.9,3.89,13,96,36,1.23,19,21900,722,16.3,2.97,1020,97.9,1220,176,0.917,22.5,0.219,63,82.1,3.27
,380x100x54 PFC,-,54,380,100,9.5,17.5,15,315,33.2,4.31,12,98,34,1.13,20.9,15000,643,14.8,3.06,791,89.2,933,161,0.932,21.2,0.15,45.7,68.7,3.48
,300x100x46 PFC,-,45.5,300,100,9,16.5,15,237,26.3,4.61,11,98,32,0.969,21.3,8230,568,11.9,3.13,549,81.7,641,148,0.944,17,0.0813,36.8,58,3.68
,300x90x41 PFC,-,41.4,300,90,9,15.5,12,245,27.2,4.45,11,88,28,0.932,22.5,7220,404,11.7,2.77,481,63.1,568,114,0.934,18.4,0.0581,28.8,52.7,3.18
,260x90x35 PFC,-,34.8,260,90,8,14,12,208,26,5,10,88,28,0.854,24.5,4730,353,10.3,2.82,364,56.3,425,102,0.942,17.2,0.0379,20.6,44.4,3.32
,260x75x28 PFC,-,27.6,260,75,7,12,12,212,30.3,4.67,9,74,26,0.796,28.8,3620,185,10.1,2.3,278,34.4,328,62,0.932,20.5,0.0203,11.7,35.1,2.62
,230x90x32 PFC,-,32.2,230,90,7.5,14,12,178,23.7,5.04,10,90,28,0.795,24.7,3520,334,9.27,2.86,306,55,355,98.9,0.95,15.1,0.0279,19.3,41,3.46
,230x75x26 PFC,-,25.7,230,75,6.5,12.5,12,181,27.8,4.52,9,76,26,0.737,28.7,2750,181,9.17,2.35,239,34.8,278,63.2,0.947,17.3,0.0153,11.8,32.7,2.78
,200x90x30 PFC,-,29.7,200,90,7,14,12,148,21.1,5.07,9,90,28,0.736,24.8,2520,314,8.16,2.88,252,53.4,291,94.5,0.954,12.9,0.0197,18.3,37.9,3.6
,200x75x23 PFC,-,23.4,200,75,6,12.5,12,151,25.2,4.56,8,76,26,0.678,28.9,1960,170,8.11,2.39,196,33.8,227,60.6,0.956,14.8,0.0107,11.1,29.9,2.91
,180x90x26 PFC,-,26.1,180,90,6.5,12.5,12,131,20.2,5.72,9,90,26,0.697,26.7,1820,277,7.4,2.89,202,47.4,232,83.5,0.949,12.8,0.0141,13.3,33.2,3.64
,180x75x20 PFC,-,20.3,180,75,6,10.5,12,135,22.5,5.43,8,76,24,0.638,31.4,1370,146,7.27,2.38,152,28.8,176,51.8,0.946,15.3,0.00754,7.34,25.9,2.87
,150x90x24 PFC,-,23.9,150,90,6.5,12,12,102,15.7,5.96,9,90,26,0.637,26.7,1160,253,6.18,2.89,155,44.4,179,76.9,0.936,10.8,0.0089,11.8,30.4,3.71
,150x75x18 PFC,-,17.9,150,,5.5,10,12,106,19.3,5.75,8,76,24,0.579,32.4,861,131,6.15,2.4,115,26.6,132,47.2,0.946,13.1,0.00467,6.1,22.8,2.99
,125x65x15 PFC,-,14.8,125,65,5.5,9.5,12,82,14.9,5,8,66,22,0.489,33.1,483,80,5.07,2.06,77.3,18.8,89.9,33.2,0.942,11.1,0.00194,4.72,18.8,2.56
,100x50x10 PFC,-,10.2,100,50,5,8.5,9,65,13,4.24,7,52,18,0.382,37.5,208,32.3,4,1.58,41.5,9.89,48.9,17.5,0.942,10,0.000491,2.53,13,1.94
