Id,Profile:,G,h,b,s,t,r,d,At,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy
1001,356x406x634,633.9,474.6,424,47.6,77,15.2,290.2,808,274845,98125,18.4,11,11582,4629,14235,7108
1002,356x406x551,551,455.6,418.5,42.1,67.5,15.2,290.2,702,226938,82671,18,10.9,9962,3951,12076,6058
1003,356x406x467,467,436.6,412.2,35.8,58,15.2,290.2,595,183003,67834,17.5,10.7,8383,3291,10002,5034
1004,356x406x393,393,419,407,30.6,49.2,15.2,290.2,501,146618,55367,17.1,10.5,6998,2721,8222,4154
1005,356x406x340,339.9,406.4,403,26.6,42.9,15.2,290.2,433,122543,46853,16.8,10.4,6031,2325,6999,3544
1006,356x406x287,287.1,393.6,399,22.6,36.5,15.2,290.2,366,99875,38677,16.5,10.3,5075,1939,5812,2949
1007,356x406x235,235.1,381,394.8,18.4,30.2,15.2,290.2,299,79085,30993,16.3,10.2,4151,1570,4687,2383
1008,356x368x202,201.9,374.6,374.7,16.5,27,15.2,290.2,257,66261,23688,16.1,9.6,3538,1264,3972,1920
1009,356x368x177,177,368.2,372.6,14.4,23.8,15.2,290.2,226,57118,20529,15.9,9.5,3103,1102,3455,1671
1010,356x368x153,152.9,362,370.5,12.3,20.7,15.2,290.2,195,48589,17553,15.8,9.5,2684,948,2965,1435
1011,356x368x129,129,355.6,368.6,10.4,17.5,15.2,290.2,164,40246,14611,15.6,9.4,2264,793,2479,1199
1012,305x305x283,282.9,365.3,322.2,26.8,44.1,15.2,246.7,360,78872,24635,14.8,8.3,4318,1529,5105,2342
1013,305x305x240,240,352.5,318.4,23,37.7,15.2,246.7,306,64203,20315,14.5,8.2,3643,1276,4247,1951
1014,305x305x198,198.1,339.9,314.5,19.1,31.4,15.2,246.7,252,50904,16299,14.2,8,2995,1037,3440,1581
1015,305x305x158,158.1,327.1,311.2,15.8,25,15.2,246.7,201,38747,12569,13.9,7.9,2369,808,2680,1230
1016,305x305x137,136.9,320.5,309.2,13.8,21.7,15.2,246.7,174,32814,10700,13.7,7.8,2048,692,2297,1053
1017,305x305x118,117.9,314.5,307.4,12,18.7,15.2,246.7,150,27672,9059,13.6,7.8,1760,589,1958,895
1018,305x305x97,96.9,307.9,305.3,9.9,15.4,15.2,246.7,123,22249,7308,13.4,7.7,1445,479,1592,726
1019,254x254x167,167.1,289.1,265.2,19.2,31.7,12.7,200.3,213,29998,9870,11.9,6.8,2075,744,2424,1137
1020,254x254x132,132,276.3,261.3,15.3,25.3,12.7,200.3,168,22529,7531,11.6,6.7,1631,576,1869,878
1021,254x254x107,107.1,266.7,258.8,12.8,20.5,12.7,200.3,136,17510,5928,11.3,6.6,1313,458,1484,697
1022,254x254x89,88.9,260.3,256.3,10.3,17.3,12.7,200.3,113,14268,4857,11.2,6.6,1096,379,1224,575
1023,254x254x73,73.1,254.1,254.6,8.6,14.2,12.7,200.3,93.1,11407,3908,11.1,6.5,898,307,992,465
1024,203x203x86,86.1,222.2,209.1,12.7,20.5,10.2,160.8,110,9449,3127,9.3,5.3,850,299,977,456
1025,203x203x71,71,215.8,206.4,10,17.3,10.2,160.8,90.4,7618,2537,9.18,5.3,706,246,799,374
1026,203x203x60,60,209.6,205.8,9.4,14.2,10.2,160.8,76.4,6125,2065,8.96,5.2,584,201,656,305
1027,203x203x52,52,206.2,204.3,7.9,12.5,10.2,160.8,66.3,5259,1778,8.91,5.18,510,174,567,264
1028,203x203x46,46.1,203.2,203.6,7.2,11,10.2,160.8,58.7,4568,1548,8.82,5.13,450,152,497,231
1029,152x152x37,37,161.8,154.4,8,11.5,7.6,123.6,47.1,2210,706,6.85,3.87,273,91.5,309,140
1030,152x152x30,30,157.6,152.9,6.5,9.4,7.6,123.6,38.3,1748,560,6.76,3.83,222,73.3,248,112
1031,152x152x23,23,152.4,152.2,5.8,6.8,7.6,123.6,29.2,1250,400,6.54,3.7,164,52.6,182,80.2
